minHourly,maxHourly,minSalary,maxSalary,workHours,companyName,experience,Title,KeyWords,link
20.5128205128205,25.6410256410256,40000,50000,37.5,Success Activators Group Inc,3 years to less than 5 years,senior software developer,"['code', 'Java', 'C#', 'CSS', 'HTML', 'software', 'test', 'SQL', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/36803578?source=searchresults
22,30,45760,62400,40,Rotobec inc.,2 years to less than 3 years,"developer, software","['code', 'C++', 'C#', 'software', 'test']",https://www.jobbank.gc.ca/jobsearch/jobposting/36904376?source=searchresults
25,,45500,,35,10016094 Manitoba Inc.,1 year to less than 2 years,Web developer,"['database', 'code', 'Java', 'C#', 'HTML', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/36796684?source=searchresults
28,45,50960,81900,35,Dialog Insight,2 years to less than 3 years,full stack developer,"['code', 'Java', 'C#', 'software', 'test', 'SQL', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37263755?source=searchresults
28.8461538461538,43.2692307692308,60000,90000,40,FOP EXPERTS CONSEILS INC,3 years to less than 5 years,programmer analyst,"['database', 'code', 'C++', 'HTML', 'software', 'test', 'script', 'SQL', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/37164116?source=searchresults
28.8461538461538,43.2692307692308,60000,90000,40,Evertz Microsystems Ltd.,Experience an asset,application programmer,"['code', 'Git', 'Java', 'C++', 'C#', 'HTML', 'Angular', 'software', 'test']",https://www.jobbank.gc.ca/jobsearch/jobposting/37159524?source=searchresults
28.8461538461538,38.4615384615385,60000,80000,40,MWDPlanet and Lumen Corp,2 years to less than 3 years,embedded software engineer,"['Java', 'C++', 'C#', 'software', 'SQL', 'lead', 'develop', 'data']",https://www.jobbank.gc.ca/jobsearch/jobposting/37117875?source=searchresults
29.7766749379653,54.590570719603,60000,110000,38.75,Solutions Kumojin inc.,3 years to less than 5 years,computer programmer,"['code', 'Git', 'Java', 'CSS', 'HTML', 'Angular', 'software', 'test', 'SQL', 'develop', 'programming']",https://www.jobbank.gc.ca/jobsearch/jobposting/37292095?source=searchresults
30.5944055944056,39.3356643356643,70000,90000,44,2596959 Ontario Inc.,3 years to less than 5 years,software QA (quality assurance) analyst,"['Java', 'HTML', 'software', 'develop', 'data', 'life cycle']",https://www.jobbank.gc.ca/jobsearch/jobposting/36989307?source=searchresults
31.25,48.0769230769231,65000,100000,40,Evertz Microsystems Ltd.,Experience an asset,software developer,"['code', 'Java', 'C++', 'C#', 'HTML', 'Angular', 'software', 'test', 'script', 'SQL', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/37304410?source=searchresults
31.25,40.8653846153846,65000,85000,40,Axiell ALM Canada Inc,1 year to less than 2 years,Web developer,"['database', 'code', 'Java', 'C#', 'CSS', 'HTML', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/37007826?source=searchresults
31.25,33.6538461538462,65000,70000,40,ASTEK Canada Inc.,1 year to less than 2 years,programmer analyst,"['code', 'software', 'test', 'develop']",https://www.jobbank.gc.ca/jobsearch/jobposting/36991731?source=searchresults
32.05,,49998,,30,Nexgen Production Inc.,1 year to less than 2 years,Web developer,"['database', 'code', 'HTML', 'software', 'test', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/37327840?source=searchresults
32.5,,64220,,38,"Langley Flying School, Inc.",2 years to less than 3 years,Web developer,"['database', 'code', 'Java', 'C++', 'HTML', 'software', 'test', 'SQL', 'develop', 'data', 'mock-up']",https://www.jobbank.gc.ca/jobsearch/jobposting/36815830?source=searchresults
